Distance_(pixels),Gray_Value
1267,30.5193
1268,29.6716
1269,28.3730
1270,27.7667
1271,27.5167
1272,28.3176
1273,28.3121
1274,27.7177
1275,26.6152
1276,25.8913
1277,25.8672
1278,26.3333
1279,25.9790
1280,24.8007
1281,24.2490
1282,23.4258
1283,21.5668
1284,20.7488
1285,20.1955
1286,18.4669
1287,17.7820
1288,16.8528
1289,15.8779
1290,14.0205
1291,12.4824
1292,11.4979
1293,11.1952
1294,9.8519
1295,9.0379
1296,8.1002
1297,7.5734
1298,6.8732
1299,6.3566
1300,5.9379
1301,5.7447
1302,6.1396
1303,6.6667
1304,6.6667
1305,5.7242
1306,5.3097
1307,4.5394
1308,3.6186
1309,3.3333
1310,3.4620
1311,4.2703
1312,4.3333
1313,4.3649
1314,5.0725
1315,5.3333
1316,5.1791
1317,4.4608
1318,4.3333
1319,4.6886
1320,4.3457
1321,3.7068
1322,3.8879
1323,4.3333
1324,4.3285
1325,4.8557
1326,5.9022
1327,6.3333
1328,6.6425
1329,6.1056
1330,5.8745
1331,5.8739
1332,6.3486
1333,7.1673
1334,7.5953
1335,6.7459
1336,6.9385
1337,7.3396
1338,8.0174
1339,9.6553
1340,10.7125
1341,11.5249
1342,12.5606
1343,13.6780
1344,14.8422
1345,15.9159
1346,17.2073
1347,18.6452
1348,20.1179
1349,20.5299
1350,20.8478
1351,21.3572
1352,21.8479
1353,22.3275
1354,22.6667
1355,22.6667
1356,23.1235
1357,23.6667
1358,23.7217
1359,24.5700
1360,25.1437
1361,25.4836
1362,24.9842
1363,25.1098
1364,25.9816
1365,29.0429
1366,28.8009
1367,29.3249
1368,30.6585
1369,30.9816
1370,31.8934
1371,32.4822
1372,33.1823
1373,33.1043
1374,33.0836
1375,32.6476
1376,32.4038
1377,32.3333
1378,32.3116
1379,30.9600
1380,30.4741
1381,30.0869
1382,29.5028
1383,27.8876
1384,27.0050
1385,26.6862
1386,25.9829
1387,24.8733
1388,24.7386
1389,24.6835
1390,24.7742
1391,24.1391
1392,23.5737
1393,22.1001
1394,21.4953
1395,21.3333
1396,21.3333
1397,20.8664
1398,19.7389
1399,17.8632
1400,17.3696
1401,16.6550
1402,15.4969
1403,14.7900
1404,14.0522
1405,13.1994
1406,12.1678
1407,10.9543
1408,10.1079
1409,9.5877
1410,8.7115
1411,8.1348
1412,7.0939
1413,6.3869
1414,6.9407
1415,6.9756
1416,6.6944
1417,6.6667
1418,6.0164
1419,5.6667
1420,5.6667
1421,5.9367
1422,6.3576
1423,5.6506
1424,4.4369
1425,4.0232
1426,4.1845
1427,4.0750
1428,4.3333
1429,4.5631
1430,4.5103
